name,address (no apostrophe),"tin(numbers only, no special chars)",telcontact,cpcontact,email,website,blisted (enter either 1 for yes and 0 for no),"supp_status (enter either 1 for ""Active"" and 0 for ""Inactive"")",remarks
Conecta Pacific Medtrade Inc.,"113 Matatag St., Central, Diliman, Quezon City, Metro Manila",222060523000,"(02) 924-0411, 435-3016",,conectamed@pacific.net.ph,,0,1,
"Cosmo Medical Inc,","Lot 64-A Celery Rd., FTI Complex, Taguig, Metro Manila",4819435000,(02) 838-4301 loc.3204/3203,,inmu@cosmome.com,,0,1,
"Cost Saver s Supermarket, Inc.",,,,,,,0,1,
"Dagupan Air Products, Inc.","Bo. Anolid, Mangaldan, Pangasinan",,"(075) 522-6796, 513-3796",,,,0,1,
Dentlink Dental Shop,"219 P. Burgos St., Brgy. I (Pob.), San Fernando City, La Union",939210875000,,,,,0,1,
Diamed Kinetics Healthcare On The Go,,,,,,,0,1,
Dimar Enterprises,"Block 4, Lot 45 Eagle Crest Villa, Bonuan Boquig, Dagupan City",131797611000,"(075) 653-3266, 614-3266",,dimar_dagupan@yahoo.com,,0,1,
Driveasia Motor Corporation,"Madayegdeg, San Fenando City, La Union",8053290002,(072) 700-8888,,,,0,1,
Dubbel Medical Corporation,"U-202 2/F Ablaza Bldg., #117 E. Rodriguez Sr Ave., Ttatalon, D4, Quezon City",6713820000,(02) 740-0713,,dubbelmedicalcorp@yahoo.com.ph,,0,1,
ECDI Engineering & Construction,"#08 Brgy. Namtutan, San Fernando City, La Union",124998161/ 173499886000 (Reynaldo Balanon),072-700-1061,,,,0,1,
Elvie Express,"Brgy. Lacong, Tagudin, Ilocos Sur",168018822000,(072)-607-4915,,,,0,1,
"Envirocare Mgt. Precision, Inc.","R. 542, 624 Wellington Building, Padre Quintin Paredes St. cor. Norberto Ty St., Binondo, Manila",6642888001,(02) 242-9810,9205005313,,,0,1,
"Euro-Med Laboratories Phils., Inc.","Brgy Biday, San Fernando City, La Union",288655006,02-524-0091-98/,,,,0,1,
"Euro-Pacific Health Care Distributor, Inc.","No. 5 Pine Street, West Fairview, Quezon City",3978885000,(02) 938-6302,,,,0,1,
"Fernando Medical Enterprises, Inc.",,,,,,,0,1,
"Fresenius Medical Care Phils., Inc.","2257 Don Chino Roces Avenue, Makati City",,(02) 891-9575,,,,0,1,
"Gakken (Philippines), Inc.","#130 Aurora Boulevard cor. A. Lake Street, San Juan, M.M.",4175204000,,,,,0,1,
Generika Drugstore / RBG Drugstore,"Quezon Avenue, Brgy. III City of San Fernando La Union 2500",131256345027,,,,,0,1,
"Getz Bros. Philippines, Inc.","5/F Ortigas Bldg., Ortigas Ave., Pasig City, Metro Manila",280423,(02) 784-0400,,,,0,1,
Global Criticare Inc.,"Antel Global Corporate Center#2903 29/F Dona Julia Vargas Ave., Ortigas, Pasig City. Metro Manila",221732803000,916-1888,,www.globalcriticare.com,,0,1,
"Globo Asiatico Enterprises, Inc.","JDK Building 127 Maginhawa Street, Teacher s Village-East, Quezon City",,(02) 982-7000,,"url:  www.globoasiatico.com.ph, info@globoasiatico.com.ph",,0,1,
Goodfellow Pharma Corporation,"Unit 3009 Jollibee Plaza Building, Emeralsd Avenue, Ortigas Center, Pasig City 1605",,"(02) 635-3957, 632-7031",,"good_fellow88@yahoo.com, url: www.goodfellowtcm.com, www.goodfellowpharma.com",,0,1,
Hancon Builders and Supply,"National Highway, Nagsimbaanan, Bacnotan, La Union ",,,,,,0,1,
"Healthsolutions Enterprises, Inc.","2291 Don Chino Roces Avenue, Makati City",,(02) 836-5858 to 62,,url: www.healthsolutions.com.ph,,0,1,
"Health-Tech Medical, Inc.","#17 Binmaka Street, Manresa, Quezon City",210593891000,(02) 365-9999,,,,0,1,
"Indoplas Philippines, Inc.","888 Lot 2, Block 2A Muralla Industrial Subdivision, Bgy. Iba, Meycauayan, Bulacan",145240420000,"410-7554/45, 415-8248",,"indoplas.philippines@yahoo.com, url:  www.indoplasphil.com",,0,1,
Jayyam Enterprises,"57-A Andres Castro Street, Laoag City, Ilocos Norte",,(077) 676-1758,,,,0,1,
JEA Computers,"Sevilla, San Fernando City, La Union",298205769000,(072) 607-7597 / (072) 603-1745,,jeacomputers@gmail.com,,0,1,
Jerr Marketing,"1948 Unit A, Tomas Mapua Street, Sta. Cruz, Manila",107554776002,253-3768/254-0412/495-0902,,jerrmktg@yahoo.com,,0,1,
La Union Quality Timber Manufacturing Corporation (LATIMCO),"California Avenue, Parian, San Fernando City, La Union",5291827000,,,,,0,1,
LU Electronics Enterprises,"Osias St., Brgy. III, San Fernando City, La Union",907507276000,,,,,0,1,
La Union Long Last Enterprises,,,242-4337,,,,0,1,
Lawin 2010 Autoglass/Aluminum Supply and Iron Works,"#314 National Highway, Sevilla, San Fernando City, La Union 2500",903518235000,,,,,0,1,
Liberty & Sons La Union Corp.,"Bgy III, San Fernando City, La Union",298223770000,"607-2777, 607-2888, 603-1170",,,,0,1,
LU Morning Star Enterprises,"Rizal Ave., San Fernando City, La Union",103279963000,(072) 607-8420,,,,0,1,
Macro Vision Consultancy,"B2 L1 Emerald Street, South Annex Camella Homes, San Pedro, Laguna",140947153000,(02) 868-4152,,macro_viz01@yahoo.com,,0,1,
"Malayan Enterprises (changed to New Malayan Commercial) April 8, 2005","P. Burgos Street, San Fernando City, La Union",,242-58-33,,,,0,1,
Medecia Medical Inc,"Molave St. Aguas Subdiviison, Manibang, Porac, Pampanga",211759563000,045-963-4698,,medeciamedinc@yahoo.com,,0,1,
Medilines Distributors Incorporated,"No. 7 Pioneer Corner Sheridan Streets, Mandaluyong City",219075614000,635-4276 to 83,,,,0,1,
Med-Line Distributor,"400 National Highway, Paringao, Bauang, La Union",253500402000,,,,,0,1,
Medical Center Trading Corp.,Pioneer St. Corner Shaw Blvd. Pasig City,280681000,631-1715 to 17,,www.medicalcentertrading.com,,0,1,
"Medicotek, Inc.","Unit 1405 Atlanta Ctr, Annapolis St., Greenhills, San Juan, Metro Manila 1502",4723572000,721-6787/721-7443,,medtk@manila-online.net,,0,1,
Metro Drug Inc.,"Sta. Maria Industrial Estate, Mañalac Ave., Bagumbayan, Taguig, Metro Manila 1631",4641985000,837-2121 to 38/837-3043,,,,0,1,
Micel Marketing,"156 Azucena Street, 10th Avenue, Grace Park, Kalookan City",,(02) 364-7764,,,,0,1,
Mike s Stainless Steel Fabrication,"PNR Road, San Fernando City, La Union",,,,,,0,1,
Milandez Houseware,,,,,,,0,1,
MRL Cybertec Corp.,"#20 Maaralin St., Central Dist., Diliman Quezon City",4870228000,928-1103/928-1099/929-3832,,www.mrlcybertec.com             e-mail cybertec@info.com.ph,,0,1,
NB Marketing Corp. (Trade Name:  National Bazaar Electrical & Appliance Center),"Quezon Avenue, Bgy III, San Fernando City, La Union",279461001,,,,,0,1,
Northeast Medical Trading,"#19 Marcos Highway, Philam Compound, Baguio City",121633972000,"(074) 445-4126, 304-3165",,northeastmed@yahoo.com,,0,1,
Northern Luzon Drug Corporation,"P. Burgos Street, Bgy III, San Fernando City, La Union",4021156029,,,,,0,1,
NPK Medical Trading Inc,"#62 Cordillera St., Near E. Rodriguez Sr., QC",4523988000,742-5986/712-7384/731-1757/7325609,,"e-mail: info@npkmedical.ph  Website: www.npkmedical.ph, npkmedicaltrading@ymail.com",,0,1,
Orthopedic Implant Center Trading,"Block 72 Lot 40 Las Palmas Caypombo, Santa Maria, Bulacan",107673539000,02-521-1314,,"iclivevicar@yahoo.com, oict@yahoo.com",,0,1,
Patient Care Corp.,"Amhsco Bldg, Dolores, San Fernando, Pampanga",265811000,045-961-1602/963-4770,,,,0,1,
PEA Drug,"#26 Gov. Pack Road, Bagio City",168048973000,074-619-1030,,peadrug@yahoo.com.ph,,0,1,
"Phil. Duplicators, Inc.",,,242-4367,,,,0,1,
"Philippine Duplicators, Inc.","Unison Realty Building, Quezon Avenue, San Fernando City, La Union",412893004,"607-8696, (02) 822-2601 to 08",,,,0,1,
Philippine Pharmawealth Inc.,"Suite 3001, 30/F, East Tower, PSE Centre, Ortigas, Pasig City",2304637000,683-0053/683-0054/683-0055/683-0056/683-0057/683-3732/634-3505/634-4026,,email: info@philPharmaceuticalswealth.com    website: www.philPharmaceuticalswealth.com,,0,1,
"Propharmcare, Inc.","Stall 2 Jose Abad Santos Street, Cangatba, Porac, Pampanga 2008",8080057000,,,,,0,1,
Queby Marketing,"Lourdes North West, Angeles City, Pampanga, Region 3 (Central Luzon)",,0927-6121855,,,,0,1,
"RBGM Medical Express Sales, Inc.","138 Maginhawa Street, Teacher s Village, Quezon City",205392470,(02) 927-7053,,"sales@rbgm-medical.com, url:  www.rbgm-medical.com",,0,1,
"Rebmann, Inc.","3rd Floor Picture City Center, 88 Timog Avenue, Quezon City",934758248000,(02) 922-8255/9757,,,,0,1,
REM Citimed Pharma Distributor,"Lot 1 Block 5&6 Maramba Bankers Village, Bonuan Gueset, Dagupan City, Pangasinan",934758243000,(075) 515-5739,,,,0,1,
Respicare Enterprises,"Narciso Building II, 23 Fisheries Street, Barangay Vasra, Quezon City",100050266000,"(02) 920-7646, 920-7855, 709-6442, 455-1052, 387-6412",,,,0,1,
"RG Meditron, Inc.","LFG Bldg. #82 Panay Avenue, Quezon City",392245000,(02) 372-3846 to 55,,reygarcia@rgmeditron.com.ph,,0,1,
"Ritegroup, Inc."," Unit 2202 22/F Prestige Tower, F. Ortigas, Jr. Road, Ortigas Center, Pasig City ",,"02-6877862, (075) 653-0262 ",,,,0,1,
ROM Pharma Distributor," 674 Buenlag Calasiao, Pangasinan ",205722835000,,,,,0,1,
Rosen s Furniture," 664 Quezon Avenue Barangay III, San Fernando City, La Union ",,,,,,0,1,
RRF Business Ventures Co. ," Guimod, Bantay, Ilocos Sur ",,,,,,0,1,
Scientific Biotech Specialties Inc.,"Unit 502 Metrostar Bldg, Metropolitan Ave, Makati City",201841917000,899-6557/896-3483/896-6347/898-1572,,sbsi_diag@tri-isys.com,,0,1,
Shania Kenny Merchandise Computer and Gadget Store (formerly SKM Computer Trading & General Merchandise),"Kenny Plaza, Quezon Avenue, Catbangen, San Fernando City, La Union",456912930000,,,,,0,1,
"St. Tyke, Inc.","Rm 305 3/F Cityland Condominum III, 105 V.A., Rufino Street, San Lorenzo, Herrera Stret, Legaspi Village, Makati",223642612000,,9178597544,,,0,1,
Sta. Ana Enterprises,"#10 Bellington St., Suburbia North, Maimpis, San Fdo, Pampanga",137763406002,(045)961-16-56,,sta_ana_enterprises@yahoo.com,,0,1,
Surgico Philis. Inc.,"Jullie s Arcade O-G Rd. Dolores, San Fernando City, La Union ",221282683000,(045)861-21-96,,surgico2003@yahoo.com,,0,1,
"Technomed International, Inc.","4th Floor, Medecor Building, Ortigas Avenue, Greenhills, San Juan, Metro Manila",,"(02) 744-8646, 721-1860",,sales@technomed.com.ph,,0,1,
Timmate Enterprises,"Blk 9, Lot 15 Pine St., Parian, San Fernando City, La Union",256150682000,,,,,0,1,
Timmy Pharma and Medical Trading,"D22 Veterans, Holy Spirit, Quezon City",275072190000,"02-4147063, 227-9624",,,,0,1,
United Diagnostic Supply,"Unit C LRDC Annex Building, #41A Esguerra Avenue, South Triangle, Quezon City",102247475000,,,,,0,1,
United Laboratories Inc.,"#66 United St., Mandaluyong City",63471000,02-8581000,,wrbandonill@unilab.com.ph,,0,1,
Vista De Las Islas Hotel and Restaurant,"Lucap, Alaminos City",940197616000,,,,,0,1,
"Vive, Inc. / Venus Park Hotel","19 Kisad Road, Kisad-Legarda, Baguio City",263863537001,442-5597,,venus@yahoo.com,,0,1,
"Zafire Distributors, Inc.","No. 49 Examiner Street, West Triangle, Quezon City; Pampanga:  #62-11 Sunflower St. Timog Park, Angeles City",233495266000,"(045) 3234471, 322-5245; (02) 925-0500, 411-0500, 928-4293, 411-8643",,"zaf_angeles@yahoo.com, url: www.zafire.com.ph",,0,1,
Zuellig Pharma Corporation,"Zuellig Bldg., Malugay St, Brgy San Antonio, Makati City, Metro Manila;  Quintin Compound, Nancayasan, Urdaneta City, Pangasinan",172443000,"632-819-1561,     (075) 632-2563",,www.zuelligpharmaceuticals.com.ph,,0,1,
"A.M.I. Equipment Services and Solutions, Inc.","U 10102 Medical Plaza, #25 San Miguel ave., Brgy. San Antonio,Ortigas Center,Pasig City ",6590628000,,,,,0,1,
"Medilight, Incorporated",,,,,,,0,1,
"Kservico Trade, Inc.","111 12 Ave.,Brgy.Socorro, Cubao,Quezon City Metro Manila",,,,,,0,1,
Justic Corporation,99 DASMARINAS ST. BRGY. 282 ZONE 26 DISTRICT 11 TONDO MANILA 1010,200020890000,,,,,0,1,
"Phoenix Pharmaceuticals, INC.","G/F-3 Asian Mansion II, 108 Dela Rosa St., Legaspi Village Makati City",137862000,8877736/8877735,,,,0,1,
"Bataan Manufacturing Company,INC.",1144 hermosa zone 18 202A Tondo Manila 1012,315269000,,,,,0,1,
"Global Health Care Products,INC.",RM 305 Bencom Blfg. 146 West Aved. Cor. St. Francis Brgy. Philam Quezon City ,5054524000,,,,,0,1,
Ilaw & Electrical Depot Corp.,Sevilla San Fernando City La Union 2500,7868671001,,,,,0,1,
Nethub Prints,Purok 2 Sevilla San fernando City La Union2500,143499921000,,,,,0,1,
Sapphire Airconditioning Center,Zone 2 Cabaroan San Fernando City La Union 2500,930914638000,,,,,0,1,
